max_car_agents,tolerance,green_light_duration,Run,average_congestion
59,0,5,0.0,52.41965212922152
141,0,5,1.0,54.96717751534264
59,0,5,2.0,54.96717751534264
59,0,7,3.0,54.96717751534264
59,0,7,4.0,54.96717751534264
141,0,7,5.0,54.8091376136188
141,0,5,6.0,55.63493044497452
141,0,7,7.0,53.555760147372496
149,0,2,8.0,57.94075659971356
51,0,2,9.0,57.94075659971356
149,0,2,10.0,59.05084604752386
149,0,4,11.0,62.65926340173741
149,0,4,12.0,57.79743594167775
51,0,4,13.0,57.79743594167775
51,0,2,14.0,57.79743594167775
51,0,4,15.0,57.79743594167775
194,0,6,16.0,85.12196384939506
186,0,6,17.0,85.12196384939506
194,0,6,18.0,84.3050938842361
194,0,2,19.0,61.987879771894285
194,0,2,20.0,62.64483439970681
186,0,2,21.0,61.987879771894285
186,0,6,22.0,62.64483439970681
186,0,2,23.0,62.64483439970681
104,0,3,24.0,62.64483439970681
96,0,3,25.0,62.64483439970681
104,0,3,26.0,62.64483439970681
104,0,5,27.0,85.12196384939506
104,0,5,28.0,85.12196384939506
96,0,5,29.0,62.64483439970681
96,0,3,30.0,62.64483439970681
96,0,5,31.0,84.3050938842361
82,0,2,32.0,85.12196384939506
74,0,2,33.0,85.12196384939506
82,0,2,34.0,85.12196384939506
82,0,6,35.0,85.12196384939506
82,0,6,36.0,84.3050938842361
74,0,6,37.0,84.3050938842361
74,0,2,38.0,61.987879771894285
74,0,6,39.0,61.987879771894285
172,0,5,40.0,62.64483439970681
164,0,5,41.0,62.64483439970681
172,0,5,42.0,85.12196384939506
172,0,3,43.0,85.12196384939506
172,0,3,44.0,85.12196384939506
164,0,3,45.0,85.12196384939506
164,0,5,46.0,85.12196384939506
164,0,3,47.0,85.12196384939506
127,0,4,48.0,84.3050938842361
29,0,4,49.0,85.12196384939506
127,0,4,50.0,85.12196384939506
127,0,2,51.0,85.12196384939506
127,0,2,52.0,85.12196384939506
29,0,2,53.0,85.12196384939506
29,0,4,54.0,62.64483439970681
29,0,2,55.0,62.64483439970681
37,0,7,56.0,84.3050938842361
119,0,7,57.0,62.64483439970681
37,0,7,58.0,84.3050938842361
37,0,5,59.0,84.3050938842361
37,0,5,60.0,61.987879771894285
119,0,5,61.0,62.64483439970681
119,0,7,62.0,62.64483439970681
119,0,5,63.0,62.64483439970681
31,0,2,64.0,62.64483439970681
102,0,2,65.0,62.64483439970681
31,0,2,66.0,85.12196384939506
31,0,3,67.0,85.12196384939506
31,0,3,68.0,84.3050938842361
102,0,3,69.0,85.12196384939506
102,0,2,70.0,61.987879771894285
102,0,3,71.0,61.987879771894285
121,0,5,72.0,85.12196384939506
192,0,5,73.0,61.987879771894285
121,0,5,74.0,61.987879771894285
121,0,6,75.0,61.987879771894285
121,0,6,76.0,61.987879771894285
192,0,6,77.0,61.987879771894285
192,0,5,78.0,61.987879771894285
192,0,6,79.0,61.987879771894285
166,0,3,80.0,85.12196384939506
57,0,3,81.0,85.12196384939506
166,0,3,82.0,61.987879771894285
166,0,5,83.0,62.64483439970681
166,0,5,84.0,61.987879771894285
57,0,5,85.0,61.987879771894285
57,0,3,86.0,85.12196384939506
57,0,5,87.0,85.12196384939506
76,0,6,88.0,62.64483439970681
147,0,6,89.0,84.3050938842361
76,0,6,90.0,84.3050938842361
76,0,2,91.0,62.64483439970681
76,0,2,92.0,62.64483439970681
147,0,2,93.0,84.3050938842361
147,0,6,94.0,85.12196384939506
147,0,2,95.0,85.12196384939506
98,0,6,96.0,85.12196384939506
124,0,6,97.0,62.64483439970681
98,0,6,98.0,84.3050938842361
98,0,4,99.0,84.3050938842361
98,0,4,100.0,85.12196384939506
124,0,4,101.0,61.987879771894285
124,0,6,102.0,61.987879771894285
124,0,4,103.0,62.64483439970681
188,0,3,104.0,62.64483439970681
34,0,3,105.0,62.64483439970681
188,0,3,106.0,62.64483439970681
188,0,7,107.0,62.64483439970681
188,0,7,108.0,62.64483439970681
34,0,7,109.0,61.987879771894285
34,0,3,110.0,61.987879771894285
34,0,7,111.0,62.64483439970681
143,0,7,112.0,85.12196384939506
169,0,7,113.0,85.12196384939506
143,0,7,114.0,62.64483439970681
143,0,5,115.0,62.64483439970681
143,0,5,116.0,62.64483439970681
169,0,5,117.0,85.12196384939506
169,0,7,118.0,85.12196384939506
169,0,5,119.0,85.12196384939506
53,0,4,120.0,84.3050938842361
79,0,4,121.0,62.64483439970681
53,0,4,122.0,61.987879771894285
53,0,2,123.0,61.987879771894285
53,0,2,124.0,61.987879771894285
79,0,2,125.0,84.3050938842361
79,0,4,126.0,84.3050938842361
79,0,2,127.0,62.64483439970681
42,0,7,128.0,84.3050938842361
23,0,7,129.0,62.64483439970681
42,0,7,130.0,85.12196384939506
42,0,2,131.0,85.12196384939506
42,0,2,132.0,62.64483439970681
23,0,2,133.0,62.64483439970681
23,0,7,134.0,85.12196384939506
23,0,2,135.0,85.12196384939506
132,0,4,136.0,62.64483439970681
113,0,4,137.0,62.64483439970681
132,0,4,138.0,61.987879771894285
132,0,5,139.0,62.64483439970681
132,0,5,140.0,85.12196384939506
113,0,5,141.0,85.12196384939506
113,0,4,142.0,62.64483439970681
113,0,5,143.0,62.64483439970681
177,0,6,144.0,84.3050938842361
68,0,6,145.0,84.3050938842361
177,0,6,146.0,85.12196384939506
177,0,6,147.0,85.12196384939506
177,0,6,148.0,85.12196384939506
68,0,6,149.0,85.12196384939506
68,0,6,150.0,61.987879771894285
68,0,6,151.0,62.64483439970681
87,0,3,152.0,85.12196384939506
158,0,3,153.0,62.64483439970681
87,0,3,154.0,85.12196384939506
87,0,3,155.0,62.64483439970681
87,0,3,156.0,85.12196384939506
158,0,3,157.0,85.12196384939506
158,0,3,158.0,85.12196384939506
158,0,3,159.0,85.12196384939506
65,0,4,160.0,62.64483439970681
181,0,4,161.0,85.12196384939506
65,0,4,162.0,62.64483439970681
65,0,3,163.0,62.64483439970681
65,0,3,164.0,84.3050938842361
181,0,3,165.0,85.12196384939506
181,0,4,166.0,62.64483439970681
181,0,3,167.0,62.64483439970681
155,0,7,168.0,85.12196384939506
91,0,7,169.0,62.64483439970681
155,0,7,170.0,62.64483439970681
155,0,6,171.0,61.987879771894285
155,0,6,172.0,61.987879771894285
91,0,6,173.0,62.64483439970681
91,0,7,174.0,62.64483439970681
91,0,6,175.0,85.12196384939506
110,0,2,176.0,62.64483439970681
136,0,2,177.0,62.64483439970681
110,0,2,178.0,61.987879771894285
110,0,7,179.0,61.987879771894285
110,0,7,180.0,61.987879771894285
136,0,7,181.0,85.12196384939506
136,0,2,182.0,84.3050938842361
136,0,7,183.0,62.64483439970681
20,0,5,184.0,85.12196384939506
46,0,5,185.0,62.64483439970681
20,0,5,186.0,84.3050938842361
20,0,4,187.0,84.3050938842361
20,0,4,188.0,85.12196384939506
46,0,4,189.0,85.12196384939506
46,0,5,190.0,85.12196384939506
46,0,4,191.0,62.64483439970681
20,0,4,192.0,62.64483439970681
107,0,4,193.0,85.12196384939506
20,0,4,194.0,62.64483439970681
20,0,7,195.0,61.987879771894285
20,0,7,196.0,84.3050938842361
107,0,7,197.0,84.3050938842361
107,0,4,198.0,61.987879771894285
107,0,7,199.0,84.3050938842361
110,0,7,200.0,61.987879771894285
197,0,7,201.0,59.306778427108284
110,0,7,202.0,59.306778427108284
110,0,4,203.0,59.306778427108284
110,0,4,204.0,59.306778427108284
197,0,4,205.0,59.862198465218434
197,0,7,206.0,61.473675339822215
